Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond, Baa Corporate Bond,Real Estate,S&P 500 (includes dividends)3,3-month T.Bill4,US T. Bond5, Baa Corporate Bond6,Real Estate2,Stocks - Bills,Stocks - Bonds,Stocks - Baa Corp Bond,Historical risk premium,Inflation Rate,S&P 500 (includes dividends)2,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3
1928,0.4381,0.0308,0.0084,0.0322,0.0149, $           143.81, $             103.08, $         100.84, $            103.22, $            101.49,0.4073,0.4298,0.4059,,-0.0116,0.4549,0.0429,0.0201,0.0443,0.0268
1929,-0.083,0.0316,0.042,0.0302,-0.0206, $           131.88, $             106.34, $         105.07, $            106.33, $              99.40,-0.1146,-0.125,-0.1132,,0.0058,-0.0883,0.0256,0.036,0.0242,-0.0263
1930,-0.2512,0.0455,0.0454,0.0054,-0.043, $             98.75, $             111.18, $         109.85, $            106.91, $              95.13,-0.2967,-0.2966,-0.2566,,-0.064,-0.2001,0.1169,0.1168,0.0741,0.0224
1931,-0.4384,0.0231,-0.0256,-0.1568,-0.0815, $             55.46, $             113.74, $         107.03, $              90.14, $              87.38,-0.4615,-0.4128,-0.2816,,-0.0932,-0.3807,0.1282,0.0745,-0.0702,0.0129
1932,-0.0864,0.0107,0.0879,0.2359,-0.1047, $             50.66, $             114.96, $         116.44, $            111.41, $              78.23,-0.0971,-0.1743,-0.3223,,-0.1027,0.0182,0.1264,0.2125,0.3774,-0.0021
1933,0.4998,0.0096,0.0186,0.1297,-0.0381, $             75.99, $             116.06, $         118.60, $            125.86, $              75.25,0.4902,0.4813,0.3702,,0.0076,0.4885,0.002,0.0108,0.1211,-0.0454
1934,-0.0119,0.0028,0.0796,0.1882,0.0291, $             75.09, $             116.39, $         128.05, $            149.54, $              77.44,-0.0147,-0.0915,-0.2,,0.0152,-0.0266,-0.0122,0.0635,0.1704,0.0137
1935,0.4674,0.0017,0.0447,0.1331,0.0977, $           110.18, $             116.58, $         133.78, $            169.44, $              85.00,0.4657,0.4227,0.3343,,0.0299,0.4249,-0.0274,0.0144,0.1002,0.0658
1936,0.3194,0.0017,0.0502,0.1138,0.0322, $           145.38, $             116.78, $         140.49, $            188.73, $              87.73,0.3177,0.2693,0.2056,,0.0145,0.3006,-0.0126,0.0352,0.0979,0.0174
1937,-0.3534,0.0028,0.0138,-0.0442,0.0256, $             94.00, $             117.11, $         142.43, $            180.39, $              89.98,-0.3561,-0.3672,-0.3092,,0.0286,-0.3713,-0.0251,-0.0144,-0.0707,-0.0029
1938,0.2928,0.0007,0.0421,0.0924,-0.0087, $           121.53, $             117.18, $         148.43, $            197.05, $              89.20,0.2922,0.2507,0.2005,,-0.0278,0.3298,0.0292,0.0719,0.1236,0.0196
1939,-0.011,0.0005,0.0441,0.0798,-0.013, $           120.20, $             117.24, $         154.98, $            212.78, $              88.04,-0.0114,-0.0551,-0.0908,,0,-0.011,0.0005,0.0441,0.0798,-0.013
1940,-0.1067,0.0004,0.054,0.0865,0.0331, $           107.37, $             117.28, $         163.35, $            231.18, $              90.95,-0.1071,-0.1608,-0.1932,,0.0071,-0.1131,-0.0067,0.0465,0.0788,0.0257
1941,-0.1277,0.0013,-0.0202,0.0501,-0.0838, $             93.66, $             117.43, $         160.04, $            242.76, $              83.32,-0.129,-0.1075,-0.1778,,0.0993,-0.2065,-0.0891,-0.1087,-0.0448,-0.1666
